6.25947,102.05461,Tak Bai,TH,Asia/Bangkok
37.74615,-25.66689,Ponta Delgada,PT,Atlantic/Azores
8.43333,99.96667,Nakhon Si Thammarat,TH,Asia/Bangkok
0.51667,101.44167,Pekanbaru,ID,Asia/Jakarta
49.07866,30.96755,Zvenihorodka,UA,Europe/Kiev
3.8801,-77.03116,Buenaventura,CO,America/Bogota
50.75,2.25,Saint-Omer,FR,Europe/Paris
27.76056,-15.58602,Maspalomas,ES,Atlantic/Canary
40.11583,67.84222,Jizzax,UZ,Asia/Samarkand
32.61603,44.02488,Karbala,IQ,Asia/Baghdad
52.21099,7.02238,Gronau,DE,Europe/Berlin
-3.20333,-52.20639,Altamira,BR,America/Santarem
13.73417,-89.71472,Sonzacate,SV,America/El_Salvador
-1.9487,30.4347,Rwamagana,RW,Africa/Kigali
33.54428,-84.23381,Stockbridge,US,America/New_York
40.37528,28.88222,Mudanya,TR,Europe/Istanbul
33.03699,-117.29198,Encinitas,US,America/Los_Angeles
41.72059,-87.70172,Evergreen Park,US,America/Chicago
33.76446,-117.79394,North Tustin,US,America/Los_Angeles
45.79377,8.88104,Malnate,IT,Europe/Rome
-4.26613,15.28318,Brazzaville,CG,Africa/Brazzaville
35.48199,137.02166,Minokamo,JP,Asia/Tokyo
19.32932,-98.1664,Contla,MX,America/Mexico_City
65.84811,24.14662,Tornio,FI,Europe/Helsinki
51.65,-0.2,Barnet,GB,Europe/London
39.32288,-76.72803,Woodlawn,US,America/New_York
49.03685,8.70745,Bretten,DE,Europe/Berlin
16.68911,98.50893,Myawadi,MM,Asia/Yangon
45.47885,133.42825,Lesozavodsk,RU,Asia/Vladivostok
-1.26753,116.82887,Balikpapan,ID,Asia/Makassar
47.46657,84.87144,Zaysan,KZ,Asia/Almaty
-8.73508,24.99798,Kamina,CD,Africa/Lubumbashi
-27.4338,-65.61427,Aguilares,AR,America/Argentina/Tucuman
51.38673,0.30367,Hartley,GB,Europe/London
52.71083,5.74861,Emmeloord,NL,Europe/Amsterdam
-22.45667,-47.53028,Santa Gertrudes,BR,America/Sao_Paulo
40.72816,-74.07764,Jersey City,US,America/New_York
-23.44361,-51.87389,Sarandi,BR,America/Sao_Paulo
9.89206,43.38531,Baki,SO,Africa/Mogadishu
40.68066,-73.47429,Massapequa,US,America/New_York
50.26729,-119.27337,Vernon,CA,America/Vancouver
44.98901,38.94324,Yablonovskiy,RU,Europe/Moscow
-33.79176,151.08057,Eastwood,AU,Australia/Sydney
32.87533,71.57118,Daud Khel,PK,Asia/Karachi
41.91886,8.73812,Ajaccio,FR,Europe/Paris
47.80527,-122.24064,Bothell West,US,America/Los_Angeles
-10.91722,-37.65,Lagarto,BR,America/Maceio
33.86419,48.26258,Aleshtar,IR,Asia/Tehran
4.88441,101.96857,Gua Musang,MY,Asia/Kuala_Lumpur
20.74122,-100.44843,Santa Rosa Jauregui,MX,America/Mexico_City
-11.48472,-37.93278,Rio Real,BR,America/Bahia
-8.73508,24.99798,Kamina,CD,Africa/Lubumbashi
41.55815,-73.0515,Waterbury,US,America/New_York
44.98901,38.94324,Yablonovskiy,RU,Europe/Moscow
57.30185,39.85331,Gavrilov-Yam,RU,Europe/Moscow
36.06386,4.62744,El Achir,DZ,Africa/Algiers
50.56149,4.69889,Gembloux,BE,Europe/Brussels
0.76755,24.43973,Yangambi,CD,Africa/Lubumbashi
